metric_col,crop_display,crop_candidate,impact_value,Category,crop_norm,crop_group,n_crop,Yield_kgha,crop_base_norm,n_crop_base,crop_group_norm,n_crop_group,n_crop_dp_exact,n_crop_dp_base,n_crop_final,n,n_source,source_summary_file,source_inventory_level,source_key
crop_pasto_azul_category_transitory_summary_strategy_3,PASTO AZUL,PASTO AZUL,0.10331103,transitory,pasto azul,forages_pastures,,,pasto azul,,forages_pastures,14458,2.0,2.0,2.0,2.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,pasto azul
crop_pasto_miel_chilena_category_cultivated_pasture_summary_strategy_3,PASTO MIEL,PASTO MIEL,0.24737329,cultivated_pasture,pasto miel,forages_pastures,,,pasto miel,,forages_pastures,14458,,,,,unmatched,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,forages_pastures
crop_pasto_mixto_category_cultivated_pasture_summary_strategy_3,PASTO MIXTO,PASTO MIXTO,0.16565359,cultivated_pasture,pasto mixto,forages_pastures,,,pasto mixto,,forages_pastures,14458,12.0,12.0,12.0,12.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,pasto mixto
crop_pepinillo_category_transitory_summary_strategy_3,PEPINILLO,PEPINILLO,0.16227798,transitory,pepinillo,vegetables,,,pepinillo,,vegetables,2143,12.0,12.0,12.0,12.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,pepinillo
crop_pepino_dulce_category_permanent_summary_strategy_3,PEPINO DULCE,PEPINO DULCE,0.42439709,permanent,pepino dulce,vegetables,6.0,9090.909090909088,pepino dulce,6.0,vegetables,2143,5.0,5.0,6.0,6.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,pepino dulce
crop_pera_category_permanent_summary_strategy_3,PERA,PERA,1.0364315,permanent,pera,fruits,24.0,3409.09090909091,pera,24.0,fruits,5571,20.0,20.0,24.0,24.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,pera
crop_perejil_category_transitory_summary_strategy_3,PEREJIL,PEREJIL,3.0767016,transitory,perejil,vegetables,,,perejil,,vegetables,2143,25.0,25.0,25.0,25.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,perejil
crop_pimienta_negra_grano_fresco_category_permanent_summary_strategy_3,PIMIENTA NEGRA,PIMIENTA NEGRA,4.3892632350000005,permanent,pimienta negra,vegetables,,,pimienta negra,9.0,vegetables,2143,11.0,11.0,9.0,9.0,crop_base,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,pimienta negra
crop_pimiento_category_transitory_summary_strategy_3,PIMIENTO,PIMIENTO,0.36750605,transitory,pimiento,vegetables,,,pimiento,,vegetables,2143,73.0,73.0,73.0,73.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,pimiento
crop_pina_fruta_fresca_category_permanent_summary_strategy_3,PINA,PINA,0.28475149,permanent,pina,fruits,,,pina,,fruits,5571,53.0,53.0,53.0,53.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,pina
crop_pitahaya_amarilla_category_permanent_summary_strategy_3,PITAHAYA AMARILLA,PITAHAYA AMARILLA,0.30572179,permanent,pitahaya amarilla,fruits,38.0,10454.545454545449,pitahaya amarilla,38.0,fruits,5571,37.0,37.0,38.0,38.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,pitahaya amarilla
crop_pitahaya_roja_category_permanent_summary_strategy_3,PITAHAYA ROJA,PITAHAYA ROJA,0.36359049,permanent,pitahaya roja,fruits,46.0,9295.454545454551,pitahaya roja,46.0,fruits,5571,40.0,40.0,46.0,46.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,pitahaya roja
crop_plantas_medicinales_category_permanent_summary_strategy_3,PLANTAS MEDICINALES,PLANTAS MEDICINALES,0.40383294,permanent,plantas medicinales,vegetables,25.0,12124.675324675323,plantas medicinales,25.0,vegetables,2143,50.0,50.0,25.0,25.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,plantas medicinales
crop_platano_fruta_fresca_category_permanent_summary_strategy_3,PLATANO,PLATANO,0.52053481,permanent,platano,fruits,,,platano,,fruits,5571,1718.0,1718.0,1718.0,1718.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,platano
crop_quinua_category_transitory_summary_strategy_3,QUINUA,QUINUA,3.1996868,transitory,quinua,cereals,,,quinua,,cereals,8601,41.0,41.0,41.0,41.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,quinua
crop_raigras_category_transitory_summary_strategy_3,RAIGRAS,RAIGRAS,0.29566115,transitory,raigras,forages_pastures,,,raigras,,forages_pastures,14458,4.0,4.0,4.0,4.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,raigras
crop_remolacha_category_transitory_summary_strategy_3,REMOLACHA,REMOLACHA,0.89869784,transitory,remolacha,vegetables,,,remolacha,,vegetables,2143,29.0,29.0,29.0,29.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,remolacha
crop_sabila_category_permanent_summary_strategy_3,SABILA,SABILA,0.11859951,permanent,sabila,vegetables,2.0,7511.363636363633,sabila,2.0,vegetables,2143,2.0,2.0,2.0,2.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,sabila
crop_saboya_category_cultivated_pasture_summary_strategy_3,SABOYA,SABOYA,0.096301988,cultivated_pasture,saboya,forages_pastures,,,saboya,,forages_pastures,14458,,,,,unmatched,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,forages_pastures
crop_sacha_inchi_category_permanent_summary_strategy_3,SACHA INCHI,SACHA INCHI,0.38197119,permanent,sacha inchi,vegetables,1.0,1649.142857142857,sacha inchi,1.0,vegetables,2143,1.0,1.0,1.0,1.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,sacha inchi
crop_sandia_category_transitory_summary_strategy_3,SANDIA,SANDIA,0.13227761,transitory,sandia,fruits,,,sandia,,fruits,5571,7.0,7.0,7.0,7.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,sandia
crop_soya_category_transitory_summary_strategy_3,SOYA,SOYA,1.9380133,transitory,soya,pulses_oilseeds,,,soya,,pulses_oilseeds,2888,80.0,80.0,80.0,80.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,soya
crop_tabaco_category_transitory_summary_strategy_3,TABACO,TABACO,3.2794158,transitory,tabaco,industrial_cash,,,tabaco,,industrial_cash,7350,31.0,31.0,31.0,31.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,tabaco
crop_taxo_category_permanent_summary_strategy_3,TAXO,TAXO,0.16834913,permanent,taxo,fruits,4.0,5051.51515151515,taxo,4.0,fruits,5571,3.0,3.0,4.0,4.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,taxo
crop_te_category_permanent_summary_strategy_3,TE,TE,0.14755391,permanent,te,industrial_cash,1.0,10791.36690647482,te,1.0,industrial_cash,7350,1.0,1.0,1.0,1.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,te
crop_tomate_de_arbol_fruta_fresca_category_permanent_summary_strategy_3,TOMATE DE ARBOL,TOMATE DE ARBOL,0.3939445,permanent,tomate de arbol,fruits,,,tomate de arbol,,fruits,5571,101.0,101.0,101.0,101.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,tomate de arbol
crop_tomate_rinon_category_transitory_summary_strategy_3,TOMATE RINON,TOMATE RINON,0.11020605,transitory,tomate rinon,vegetables,,,tomate rinon,,vegetables,2143,209.0,209.0,209.0,209.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,tomate rinon
crop_tomatillo_category_transitory_summary_strategy_3,TOMATILLO,TOMATILLO,0.079840432,transitory,tomatillo,fruits,,,tomatillo,,fruits,5571,3.0,3.0,3.0,3.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,tomatillo
crop_trigo_category_transitory_summary_strategy_3,TRIGO,TRIGO,2.3434028,transitory,trigo,cereals,,,trigo,,cereals,8601,70.0,70.0,70.0,70.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,trigo
crop_tuna_category_permanent_summary_strategy_3,TUNA,TUNA,0.25663613,permanent,tuna,fruits,4.0,2454.545454545456,tuna,4.0,fruits,5571,4.0,4.0,4.0,4.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,tuna
crop_uva_vid_category_permanent_summary_strategy_3,UVA,UVA,0.58547404,permanent,uva,fruits,,,uva,10.0,fruits,5571,6.0,6.0,10.0,10.0,crop_base,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,uva
crop_uvilla_category_permanent_summary_strategy_3,UVILLA,UVILLA,0.11503631,permanent,uvilla,fruits,6.0,5608.391608391618,uvilla,6.0,fruits,5571,5.0,5.0,6.0,6.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,uvilla
crop_vainita_category_transitory_summary_strategy_3,VAINITA,VAINITA,0.045408775,transitory,vainita,vegetables,,,vainita,,vegetables,2143,11.0,11.0,11.0,11.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,vainita
crop_vicia_forrajera_category_transitory_summary_strategy_3,VICIA FORRAJERA,VICIA FORRAJERA,0.99997673,transitory,vicia forrajera,forages_pastures,,,vicia forrajera,,forages_pastures,14458,12.0,12.0,12.0,12.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,vicia forrajera
crop_viveros_de_permanentes_category_permanent_summary_strategy_3,VIVEROS DE PERMANENTES,VIVEROS DE PERMANENTES,0.32872957,permanent,viveros de permanentes,fruits,68.0,4545.45454545455,viveros de permanentes,68.0,fruits,5571,65.0,65.0,68.0,68.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,viveros de permanentes
crop_viveros_transitorios_category_transitory_summary_strategy_3,VIVEROS TRANSITORIOS,VIVEROS TRANSITORIOS,1.429814,transitory,viveros transitorios,vegetables,,,viveros transitorios,,vegetables,2143,12.0,12.0,12.0,12.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,viveros transitorios
crop_yuca_category_transitory_summary_strategy_3,YUCA,YUCA,1.6980162,transitory,yuca,roots_tubers,,,yuca,,roots_tubers,1259,329.0,329.0,329.0,329.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,yuca
crop_zanahoria_amarilla_category_transitory_summary_strategy_3,ZANAHORIA AMARILLA,ZANAHORIA AMARILLA,0.68930514,transitory,zanahoria amarilla,vegetables,,,zanahoria amarilla,,vegetables,2143,51.0,51.0,51.0,51.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,zanahoria amarilla
crop_zanahoria_blanca_category_transitory_summary_strategy_3,ZANAHORIA BLANCA,ZANAHORIA BLANCA,0.10998327,transitory,zanahoria blanca,vegetables,,,zanahoria blanca,,vegetables,2143,10.0,10.0,10.0,10.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,zanahoria blanca
crop_zapallo_calabaza_category_transitory_summary_strategy_3,ZAPALLO,ZAPALLO,1.2200392,transitory,zapallo,vegetables,,,zapallo,,vegetables,2143,12.0,12.0,12.0,12.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,zapallo
