metric_col,crop_display,crop_candidate,impact_value,Category,crop_norm,crop_group,n_crop,Yield_kgha,crop_base_norm,n_crop_base,crop_group_norm,n_crop_group,n_crop_dp_exact,n_crop_dp_base,n_crop_final,n,n_source,source_summary_file,source_inventory_level,source_key
crop_pepino_dulce_category_permanent_summary_strategy_3,PEPINO DULCE,PEPINO DULCE,0.4603766,permanent,pepino dulce,vegetables,,,pepino dulce,,vegetables,2143,5.0,5.0,5.0,5.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,pepino dulce
crop_pera_category_permanent_summary_strategy_3,PERA,PERA,1.077301,permanent,pera,fruits,,,pera,,fruits,5571,20.0,20.0,20.0,20.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,pera
crop_perejil_category_transitory_summary_strategy_3,PEREJIL,PEREJIL,0.90367644,transitory,perejil,vegetables,70.0,1363.636363636364,perejil,70.0,vegetables,2143,25.0,25.0,70.0,70.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,perejil
crop_pimienta_negra_grano_fresco_category_permanent_summary_strategy_3,PIMIENTA NEGRA,PIMIENTA NEGRA,4.3892632350000005,permanent,pimienta negra,vegetables,,,pimienta negra,,vegetables,2143,11.0,11.0,11.0,11.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,pimienta negra
crop_pimiento_category_transitory_summary_strategy_3,PIMIENTO,PIMIENTO,0.43793054,transitory,pimiento,vegetables,80.0,8634.421134421133,pimiento,80.0,vegetables,2143,73.0,73.0,80.0,80.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,pimiento
crop_pina_fruta_fresca_category_permanent_summary_strategy_3,PINA,PINA,0.24047379,permanent,pina,fruits,,,pina,,fruits,5571,53.0,53.0,53.0,53.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,pina
crop_pitahaya_amarilla_category_permanent_summary_strategy_3,PITAHAYA AMARILLA,PITAHAYA AMARILLA,0.3253095,permanent,pitahaya amarilla,fruits,,,pitahaya amarilla,,fruits,5571,37.0,37.0,37.0,37.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,pitahaya amarilla
crop_pitahaya_roja_category_permanent_summary_strategy_3,PITAHAYA ROJA,PITAHAYA ROJA,0.38652546,permanent,pitahaya roja,fruits,,,pitahaya roja,,fruits,5571,40.0,40.0,40.0,40.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,pitahaya roja
crop_plantas_medicinales_category_permanent_summary_strategy_3,PLANTAS MEDICINALES,PLANTAS MEDICINALES,0.670406945,permanent,plantas medicinales,vegetables,36.0,1136.36363636364,plantas medicinales,36.0,vegetables,2143,50.0,50.0,36.0,36.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,plantas medicinales
crop_platano_fruta_fresca_category_permanent_summary_strategy_3,PLATANO,PLATANO,0.52372337,permanent,platano,fruits,,,platano,,fruits,5571,1718.0,1718.0,1718.0,1718.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,platano
crop_quinua_category_transitory_summary_strategy_3,QUINUA,QUINUA,3.2658557,transitory,quinua,cereals,,,quinua,,cereals,8601,41.0,41.0,41.0,41.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,quinua
crop_raigras_category_transitory_summary_strategy_3,RAIGRAS,RAIGRAS,0.3208442,transitory,raigras,forages_pastures,4.0,4193.548387096778,raigras,4.0,forages_pastures,14458,4.0,4.0,4.0,4.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,raigras
crop_remolacha_category_transitory_summary_strategy_3,REMOLACHA,REMOLACHA,0.28299165,transitory,remolacha,vegetables,87.0,4848.484848484846,remolacha,87.0,vegetables,2143,29.0,29.0,87.0,87.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,remolacha
crop_sabila_category_permanent_summary_strategy_3,SABILA,SABILA,0.12783644,permanent,sabila,vegetables,,,sabila,,vegetables,2143,2.0,2.0,2.0,2.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,sabila
crop_saboya_category_cultivated_pasture_summary_strategy_3,SABOYA,SABOYA,0.096668108,cultivated_pasture,saboya,forages_pastures,,,saboya,,forages_pastures,14458,,,,,unmatched,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,forages_pastures
crop_sacha_inchi_category_permanent_summary_strategy_3,SACHA INCHI,SACHA INCHI,0.38197119,permanent,sacha inchi,vegetables,,,sacha inchi,,vegetables,2143,1.0,1.0,1.0,1.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,sacha inchi
crop_sandia_category_transitory_summary_strategy_3,SANDIA,SANDIA,0.13227761,transitory,sandia,fruits,10.0,20606.06060606061,sandia,10.0,fruits,5571,7.0,7.0,10.0,10.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,sandia
crop_soya_category_transitory_summary_strategy_3,SOYA,SOYA,1.9424889,transitory,soya,pulses_oilseeds,,,soya,,pulses_oilseeds,2888,80.0,80.0,80.0,80.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,soya
crop_tabaco_category_transitory_summary_strategy_3,TABACO,TABACO,3.2929047,transitory,tabaco,industrial_cash,,,tabaco,,industrial_cash,7350,31.0,31.0,31.0,31.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,tabaco
crop_taxo_category_permanent_summary_strategy_3,TAXO,TAXO,0.40380423,permanent,taxo,fruits,,,taxo,,fruits,5571,3.0,3.0,3.0,3.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,taxo
crop_te_category_permanent_summary_strategy_3,TE,TE,0.14755391,permanent,te,industrial_cash,,,te,,industrial_cash,7350,1.0,1.0,1.0,1.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,te
crop_tomate_de_arbol_fruta_fresca_category_permanent_summary_strategy_3,TOMATE DE ARBOL,TOMATE DE ARBOL,0.45396216,permanent,tomate de arbol,fruits,,,tomate de arbol,,fruits,5571,101.0,101.0,101.0,101.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,tomate de arbol
crop_tomate_rinon_category_transitory_summary_strategy_3,TOMATE RINON,TOMATE RINON,0.0024969234,transitory,tomate rinon,vegetables,,,tomate rinon,,vegetables,2143,209.0,209.0,209.0,209.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,tomate rinon
crop_tomatillo_category_transitory_summary_strategy_3,TOMATILLO,TOMATILLO,0.079840432,transitory,tomatillo,fruits,4.0,30303.030303030297,tomatillo,4.0,fruits,5571,3.0,3.0,4.0,4.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,tomatillo
crop_trigo_category_transitory_summary_strategy_3,TRIGO,TRIGO,2.4492597,transitory,trigo,cereals,,,trigo,,cereals,8601,70.0,70.0,70.0,70.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,trigo
crop_tuna_category_permanent_summary_strategy_3,TUNA,TUNA,0.25663613,permanent,tuna,fruits,,,tuna,,fruits,5571,4.0,4.0,4.0,4.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,tuna
crop_uva_vid_category_permanent_summary_strategy_3,UVA,UVA,0.60851877,permanent,uva,fruits,,,uva,,fruits,5571,6.0,6.0,6.0,6.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,uva
crop_uvilla_category_permanent_summary_strategy_3,UVILLA,UVILLA,0.055858194,permanent,uvilla,fruits,,,uvilla,,fruits,5571,5.0,5.0,5.0,5.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,uvilla
crop_vainita_category_transitory_summary_strategy_3,VAINITA,VAINITA,0.045408775,transitory,vainita,vegetables,24.0,4040.404040404044,vainita,24.0,vegetables,2143,11.0,11.0,24.0,24.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,vainita
crop_vicia_forrajera_category_transitory_summary_strategy_3,VICIA FORRAJERA,VICIA FORRAJERA,1.0852727,transitory,vicia forrajera,forages_pastures,14.0,2535.353535353533,vicia forrajera,14.0,forages_pastures,14458,12.0,12.0,14.0,14.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,vicia forrajera
crop_viveros_de_permanentes_category_permanent_summary_strategy_3,VIVEROS DE PERMANENTES,VIVEROS DE PERMANENTES,0.82195005,permanent,viveros de permanentes,fruits,,,viveros de permanentes,,fruits,5571,65.0,65.0,65.0,65.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,viveros de permanentes
crop_viveros_transitorios_category_transitory_summary_strategy_3,VIVEROS TRANSITORIOS,VIVEROS TRANSITORIOS,1.9008184,transitory,viveros transitorios,vegetables,15.0,946.9696969696964,viveros transitorios,15.0,vegetables,2143,12.0,12.0,15.0,15.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,viveros transitorios
crop_yuca_category_transitory_summary_strategy_3,YUCA,YUCA,1.8438346,transitory,yuca,roots_tubers,,,yuca,,roots_tubers,1259,329.0,329.0,329.0,329.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,yuca
crop_zanahoria_amarilla_category_transitory_summary_strategy_3,ZANAHORIA AMARILLA,ZANAHORIA AMARILLA,0.13067778,transitory,zanahoria amarilla,vegetables,55.0,4545.45454545455,zanahoria amarilla,55.0,vegetables,2143,51.0,51.0,55.0,55.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,zanahoria amarilla
crop_zanahoria_blanca_category_transitory_summary_strategy_3,ZANAHORIA BLANCA,ZANAHORIA BLANCA,0.13711746,transitory,zanahoria blanca,vegetables,7.0,19829.5454545455,zanahoria blanca,7.0,vegetables,2143,10.0,10.0,7.0,7.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,zanahoria blanca
crop_zapallo_calabaza_category_transitory_summary_strategy_3,ZAPALLO,ZAPALLO,1.2209786,transitory,zapallo,vegetables,,,zapallo,8.0,vegetables,2143,12.0,12.0,8.0,8.0,crop_base,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,zapallo
